Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,Number of Fatalities,"Bus Involvement","Rigid Truck Involvement","Articulated Truck Involvement ",Speed Limit
3200901170014,QLD,17-Jan-2009,17,1,2009,Saturday,12:00,12,00,Multiple vehicle,1,No,No,No,100
5200901170003,WA,17-Jan-2009,17,1,2009,Saturday,20:45,20,45,Single vehicle ,1,No,No,No,110
1200901180015,NSW,18-Jan-2009,18,1,2009,Sunday,01:00,01,00,Single vehicle ,1,No,No,No,100
1200901180016,NSW,18-Jan-2009,18,1,2009,Sunday,00:15,00,15,Single vehicle ,1,No,No,No,100
2200901180018,VIC,18-Jan-2009,18,1,2009,Sunday,15:30,15,30,Multiple vehicle,1,No,No,No,60
5200901180004,WA,18-Jan-2009,18,1,2009,Sunday,15:00,15,00,Single vehicle ,1,No,No,No,110
5200901180005,WA,18-Jan-2009,18,1,2009,Sunday,00:12,00,12,Multiple vehicle,1,No,No,No,60
1200901190017,NSW,19-Jan-2009,19,1,2009,Monday,09:40,09,40,Multiple vehicle,1,No,No,No,80
6200901190004,TAS,19-Jan-2009,19,1,2009,Monday,12:50,12,50,Multiple vehicle,1,No,No,Yes,100
7200901190002,NT,19-Jan-2009,19,1,2009,Monday,20:33,20,33,Pedestrian,1,No,No,No,80
1200901210018,NSW,21-Jan-2009,21,1,2009,Wednesday,18:55,18,55,Single vehicle ,1,No,No,No,80
2200901210019,VIC,21-Jan-2009,21,1,2009,Wednesday,09:15,09,15,Multiple vehicle,1,No,No,No,70
5200901210006,WA,21-Jan-2009,21,1,2009,Wednesday,01:15,01,15,Single vehicle ,1,No,No,No,110
1200901220019,NSW,22-Jan-2009,22,1,2009,Thursday,18:30,18,30,Single vehicle ,1,No,No,No,110
3200901220015,QLD,22-Jan-2009,22,1,2009,Thursday,11:00,11,00,Multiple vehicle,1,No,No,No,80
3200901220016,QLD,22-Jan-2009,22,1,2009,Thursday,21:00,21,00,Single vehicle ,1,No,Yes,No,60
6200901220005,TAS,22-Jan-2009,22,1,2009,Thursday,14:45,14,45,Multiple vehicle,1,No,No,No,100
5200901230007,WA,23-Jan-2009,23,1,2009,Friday,04:00,04,00,Pedestrian,1,No,No,No,80
5200901230008,WA,23-Jan-2009,23,1,2009,Friday,14:37,14,37,Single vehicle ,1,No,No,No,100
1200901240020,NSW,24-Jan-2009,24,1,2009,Saturday,06:35,06,35,Multiple vehicle,1,No,Yes,No,100
5200901240009,WA,24-Jan-2009,24,1,2009,Saturday,06:26,06,26,Single vehicle ,1,No,No,No,50
1200901250021,NSW,25-Jan-2009,25,1,2009,Sunday,22:45,22,45,Single vehicle ,1,No,No,No,50
2200901250020,VIC,25-Jan-2009,25,1,2009,Sunday,02:10,02,10,Multiple vehicle,1,No,No,No,50
3200901250017,QLD,25-Jan-2009,25,1,2009,Sunday,08:00,08,00,Multiple vehicle,1,No,No,No,90
1200901260022,NSW,26-Jan-2009,26,1,2009,Monday,19:00,19,00,Single vehicle ,1,No,No,No,100
2200901260021,VIC,26-Jan-2009,26,1,2009,Monday,06:30,06,30,Multiple vehicle,1,No,No,No,80
2200901260022,VIC,26-Jan-2009,26,1,2009,Monday,17:40,17,40,Single vehicle ,1,No,No,No,100
3200901260018,QLD,26-Jan-2009,26,1,2009,Monday,05:00,05,00,Single vehicle ,1,No,No,No,60
3200901260019,QLD,26-Jan-2009,26,1,2009,Monday,21:00,21,00,Multiple vehicle,1,No,No,No,70
4200901260005,SA,26-Jan-2009,26,1,2009,Monday,02:00,02,00,Single vehicle ,1,No,No,No,60
3200901270020,QLD,27-Jan-2009,27,1,2009,Tuesday,17:00,17,00,Single vehicle ,1,No,No,No,100
3200901270021,QLD,27-Jan-2009,27,1,2009,Tuesday,19:00,19,00,Single vehicle ,1,No,No,No,80
6200901270006,TAS,27-Jan-2009,27,1,2009,Tuesday,23:50,23,50,Multiple vehicle,1,No,No,No,60
1200901280023,NSW,28-Jan-2009,28,1,2009,Wednesday,14:53,14,53,Multiple vehicle,3,No,No,No,110
2200901280023,VIC,28-Jan-2009,28,1,2009,Wednesday,06:50,06,50,Multiple vehicle,1,No,No,No,100
3200901280022,QLD,28-Jan-2009,28,1,2009,Wednesday,00:00,00,00,Single vehicle ,1,No,No,No,110
4200901280006,SA,28-Jan-2009,28,1,2009,Wednesday,20:45,20,45,Multiple vehicle,1,No,No,No,100
5200901280010,WA,28-Jan-2009,28,1,2009,Wednesday,18:30,18,30,Single vehicle ,1,No,No,No,110
2200901290024,VIC,29-Jan-2009,29,1,2009,Thursday,01:35,01,35,Single vehicle ,3,No,No,No,100
3200901290023,QLD,29-Jan-2009,29,1,2009,Thursday,00:00,00,00,Single vehicle ,1,No,No,No,100
6200901290007,TAS,29-Jan-2009,29,1,2009,Thursday,05:40,05,40,Multiple vehicle,1,No,Yes,No,110
1200901300024,NSW,30-Jan-2009,30,1,2009,Friday,17:00,17,00,Single vehicle ,1,No,No,No,100
2200901300025,VIC,30-Jan-2009,30,1,2009,Friday,06:58,06,58,Single vehicle ,1,No,No,No,100
6200901300008,TAS,30-Jan-2009,30,1,2009,Friday,12:50,12,50,Multiple vehicle,1,No,No,No,100
6200901300009,TAS,30-Jan-2009,30,1,2009,Friday,16:50,16,50,Single vehicle ,1,No,No,No,50
2200901310026,VIC,31-Jan-2009,31,1,2009,Saturday,02:45,02,45,Pedestrian,1,No,No,Yes,100
3200901310024,QLD,31-Jan-2009,31,1,2009,Saturday,13:00,13,00,Multiple vehicle,3,No,No,No,100
5200901310011,WA,31-Jan-2009,31,1,2009,Saturday,08:40,08,40,Single vehicle ,1,No,No,No,80
5200901310012,WA,31-Jan-2009,31,1,2009,Saturday,23:40,23,40,Single vehicle ,1,No,No,No,70
6200901310010,TAS,31-Jan-2009,31,1,2009,Saturday,03:47,03,47,Single vehicle ,2,No,No,No,110
1200902010025,NSW,01-Feb-2009,1,2,2009,Sunday,04:00,04,00,Single vehicle ,1,No,No,No,80
1200902010026,NSW,01-Feb-2009,1,2,2009,Sunday,15:00,15,00,Multiple vehicle,1,No,No,No,100
4200902020007,SA,02-Feb-2009,2,2,2009,Monday,01:05,01,05,Pedestrian,2,No,No,No,60
4200902020008,SA,02-Feb-2009,2,2,2009,Monday,11:32,11,32,Multiple vehicle,2,No,No,Yes,110
3200902030025,QLD,03-Feb-2009,3,2,2009,Tuesday,21:00,21,00,Multiple vehicle,1,No,No,No,100
4200902030009,SA,03-Feb-2009,3,2,2009,Tuesday,16:00,16,00,Multiple vehicle,1,No,No,No,50
5200902030013,WA,03-Feb-2009,3,2,2009,Tuesday,10:49,10,49,Multiple vehicle,1,No,No,No,110
3200902040026,QLD,04-Feb-2009,4,2,2009,Wednesday,23:00,23,00,Single vehicle ,1,No,No,No,80
3200902050027,QLD,05-Feb-2009,5,2,2009,Thursday,13:00,13,00,Multiple vehicle,1,No,No,No,100
1200902060027,NSW,06-Feb-2009,6,2,2009,Friday,03:30,03,30,Single vehicle ,2,No,No,No,100
1200902060028,NSW,06-Feb-2009,6,2,2009,Friday,16:30,16,30,Multiple vehicle,1,No,No,No,60
1200902060029,NSW,06-Feb-2009,6,2,2009,Friday,19:35,19,35,Single vehicle ,1,No,No,No,80
3200902060028,QLD,06-Feb-2009,6,2,2009,Friday,14:00,14,00,Multiple vehicle,1,No,No,No,60
5200902060014,WA,06-Feb-2009,6,2,2009,Friday,19:35,19,35,Single vehicle ,1,No,No,No,110
6200902060011,TAS,06-Feb-2009,6,2,2009,Friday,12:28,12,28,Multiple vehicle,1,No,No,No,100
1200902070030,NSW,07-Feb-2009,7,2,2009,Saturday,03:15,03,15,Single vehicle ,1,No,No,No,100
1200902070031,NSW,07-Feb-2009,7,2,2009,Saturday,13:50,13,50,Multiple vehicle,1,No,No,No,100
1200902070032,NSW,07-Feb-2009,7,2,2009,Saturday,03:50,03,50,Single vehicle ,1,No,No,No,100
1200902070033,NSW,07-Feb-2009,7,2,2009,Saturday,21:00,21,00,Pedestrian,1,No,No,No,110
2200902070027,VIC,07-Feb-2009,7,2,2009,Saturday,13:30,13,30,Multiple vehicle,1,No,No,No,100
2200902070028,VIC,07-Feb-2009,7,2,2009,Saturday,16:20,16,20,Single vehicle ,1,No,No,No,100
2200902070029,VIC,07-Feb-2009,7,2,2009,Saturday,21:55,21,55,Single vehicle ,1,No,No,No,100
2200902070030,VIC,07-Feb-2009,7,2,2009,Saturday,17:10,17,10,Single vehicle ,1,No,No,No,50
3200902070029,QLD,07-Feb-2009,7,2,2009,Saturday,21:00,21,00,Pedestrian,1,No,No,No,100
3200902070030,QLD,07-Feb-2009,7,2,2009,Saturday,22:00,22,00,Pedestrian,1,No,No,No,60
4200902070010,SA,07-Feb-2009,7,2,2009,Saturday,19:30,19,30,Single vehicle ,1,No,No,No,100
1200902080034,NSW,08-Feb-2009,8,2,2009,Sunday,03:25,03,25,Pedestrian,1,No,No,No,50
2200902080031,VIC,08-Feb-2009,8,2,2009,Sunday,03:30,03,30,Pedestrian,1,No,No,No,60
3200902080031,QLD,08-Feb-2009,8,2,2009,Sunday,15:00,15,00,Single vehicle ,1,No,No,No,80
3200902080032,QLD,08-Feb-2009,8,2,2009,Sunday,14:00,14,00,Multiple vehicle,5,No,No,No,110
5200902080015,WA,08-Feb-2009,8,2,2009,Sunday,02:30,02,30,Single vehicle ,1,No,No,No,110
3200902090033,QLD,09-Feb-2009,9,2,2009,Monday,06:00,06,00,Multiple vehicle,1,No,No,No,100
1200902100035,NSW,10-Feb-2009,10,2,2009,Tuesday,04:50,04,50,Multiple vehicle,1,No,Yes,No,100
2200902100032,VIC,10-Feb-2009,10,2,2009,Tuesday,18:45,18,45,Pedestrian,1,No,No,No,50
5200902100016,WA,10-Feb-2009,10,2,2009,Tuesday,08:40,08,40,Multiple vehicle,1,No,No,No,70
5200902100017,WA,10-Feb-2009,10,2,2009,Tuesday,11:15,11,15,Multiple vehicle,1,No,No,No,60
5200902100018,WA,10-Feb-2009,10,2,2009,Tuesday,19:40,19,40,Single vehicle ,1,No,No,No,110
1200902110036,NSW,11-Feb-2009,11,2,2009,Wednesday,05:50,05,50,Pedestrian,1,No,No,No,70
3200902110034,QLD,11-Feb-2009,11,2,2009,Wednesday,06:00,06,00,Multiple vehicle,1,No,No,Yes,100
3200902110035,QLD,11-Feb-2009,11,2,2009,Wednesday,18:00,18,00,Single vehicle ,1,No,No,No,30
4200902110011,SA,11-Feb-2009,11,2,2009,Wednesday,05:55,05,55,Multiple vehicle,1,Yes,No,No,80
4200902110012,SA,11-Feb-2009,11,2,2009,Wednesday,11:08,11,08,Multiple vehicle,1,No,Yes,No,110
4200902110013,SA,11-Feb-2009,11,2,2009,Wednesday,23:00,23,00,Single vehicle ,1,No,No,No,50
5200902110019,WA,11-Feb-2009,11,2,2009,Wednesday,16:00,16,00,Pedestrian,1,No,No,No,50
5200902110020,WA,11-Feb-2009,11,2,2009,Wednesday,07:10,07,10,Multiple vehicle,1,No,Yes,No,100
1200902120037,NSW,12-Feb-2009,12,2,2009,Thursday,07:35,07,35,Single vehicle ,1,No,No,No,100
1200902120038,NSW,12-Feb-2009,12,2,2009,Thursday,23:05,23,05,Multiple vehicle,1,No,No,No,90
2200902120033,VIC,12-Feb-2009,12,2,2009,Thursday,14:10,14,10,Multiple vehicle,1,No,No,No,100
3200902120036,QLD,12-Feb-2009,12,2,2009,Thursday,09:00,09,00,Single vehicle ,1,No,No,Yes,100
3200902120037,QLD,12-Feb-2009,12,2,2009,Thursday,21:00,21,00,Single vehicle ,1,No,No,No,50
5200902120021,WA,12-Feb-2009,12,2,2009,Thursday,01:35,01,35,Single vehicle ,1,No,No,No,110
5200902120022,WA,12-Feb-2009,12,2,2009,Thursday,20:50,20,50,Single vehicle ,1,No,No,No,110
1200902130039,NSW,13-Feb-2009,13,2,2009,Friday,09:35,09,35,Multiple vehicle,1,No,No,No,100
